"Name of tips","Number of mutations"
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_18157_15758_3",3
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_18209_19618_4",19
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_18273_15397_7",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_18327_8509_30",11
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_18340_5300_3",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_18463_2563_11",17
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_18606_5724_15",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_18656_2758_8",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_18765_7956_18",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_18821_19068_7",16
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_18884_20466_11",17
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19020_19367_17",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19051_4234_8",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19070_11690_4",5
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19099_14017_5",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19105_2952_7",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19121_18920_3",9
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19183_4188_17",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19236_17023_3",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19266_10908_25",7
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19311_14552_19",21
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19419_14135_6",4
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19468_13385_7",12
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19538_17740_9",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19619_7084_28",10
"M3D23_bc1_M04670_38_000000000-JP235_1_1101_19668_21346_13",11
