"Name of tips","Number of mutations"
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1104_24502_17663_3",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1104_28728_13212_4",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1104_29051_13584_3",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1104_8032_19075_9",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1104_9989_11887_4",14
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1105_10471_7339_2",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1105_16975_6210_2",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1105_19711_4721_3",8
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1105_21151_4671_2",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1105_22143_3654_3",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1105_24705_9585_2",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1106_12754_17308_2",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1106_14506_19613_3",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1106_18872_3189_4",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1106_18967_12994_2",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1106_21613_19321_4",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1106_23429_6540_3",9
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1107_11904_16297_2",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1107_16822_12457_2",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1107_18987_15439_2",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1107_21190_9976_3",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1107_23898_16582_3",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1107_24263_10133_2",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1107_7619_17234_2",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1108_10270_17833_2",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1108_16004_10514_4",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1108_23547_3004_4",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1108_26317_10885_3",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1108_27509_11487_5",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1109_10011_3459_5",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1109_11418_4108_6",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1109_15244_10488_2",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1109_17292_16441_2",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1109_22010_14893_4",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1109_25217_11593_2",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1109_27774_8692_3",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1109_5586_11032_4",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1109_9762_14266_6",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1109_9845_12905_3",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1109_9950_14247_4",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1110_16776_8467_5",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1110_17033_16751_6",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1110_17307_3990_3",10
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1110_24841_8354_5",10
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1110_27793_6266_2",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1110_28109_18372_4",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1111_10600_12218_3",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1111_15087_10968_8",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1111_21279_20406_2",14
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1111_23645_11227_3",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1111_24068_6631_5",13
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1111_24825_11965_2",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1112_12826_12846_2",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1112_16958_18651_3",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1112_17107_14173_6",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1112_20070_23067_2",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1112_22695_21852_6",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1112_24339_7225_2",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1112_24573_7622_3",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1112_26249_6067_2",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1112_27282_10176_5",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1112_27992_11283_7",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1112_28991_13868_5",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1113_13167_11621_4",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1113_14493_5617_2",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1113_22796_3139_4",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1113_23989_8434_3",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1113_24288_4060_3",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1113_25067_23178_3",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1113_27171_18504_7",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1113_27312_11003_5",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1114_16203_21043_4",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1114_20406_2767_7",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1114_23627_11770_7",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1115_11895_13882_4",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1115_14662_11150_4",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1115_14893_19862_6",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1115_20804_9438_5",8
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1115_20958_3030_2",7
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1115_21094_3169_2",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1115_22811_22197_3",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1115_24049_10912_5",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1115_24780_5617_4",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1115_27553_20595_2",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1115_28664_10587_3",11
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1115_4522_13284_3",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1115_4799_15878_3",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1116_12322_17200_2",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1116_13367_10463_3",8
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1116_14736_12036_2",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1116_22598_11598_3",11
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1117_10068_11414_3",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1117_14584_5877_3",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1117_16119_13437_3",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1117_17307_9884_4",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1117_17696_12492_6",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1117_19795_17243_2",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1117_19804_23563_4",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1117_25948_14315_4",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1117_26471_19173_2",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1117_27250_13362_3",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1117_9456_6090_4",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1118_13153_12280_7",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1118_25648_13535_2",8
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1118_25676_4475_2",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1118_6097_16905_3",2
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1118_6275_18745_2",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1119_10023_3492_5",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1119_10845_24892_3",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1119_11468_12864_2",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1119_11513_19769_3",5
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1119_15363_21272_6",3
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1119_24047_3696_4",1
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1119_26653_10116_2",8
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1119_3990_8383_2",6
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1119_8285_20923_3",4
"M1Dl43_bc1_M04958_31_000000000-JLD9G_1_1119_8759_11305_3",2
