Name of tips,Number of mutations
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_8474_8694_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_8759_18573_2,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_9118_17213_3,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_9208_3431_10,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_9434_10184_7,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_9517_9341_3,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1103_9807_11756_3,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_10391_9122_2,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_10802_17123_4,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_11196_14264_10,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_11470_21056_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_11609_6216_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_11657_16702_4,8
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_11837_3102_7,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_12229_18932_9,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_12525_7115_3,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_12548_20234_7,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_12621_10554_5,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_12899_12993_3,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_13758_12859_3,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_13771_3787_4,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_15111_4231_7,8
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_15363_14876_3,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_15429_18040_6,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_15558_7877_5,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_16018_20596_3,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_16324_19675_5,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_16409_8863_7,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_16598_21018_8,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_16949_17250_4,8
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_17124_12985_2,12
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_17421_10200_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_17438_8467_3,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_17742_12675_3,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_18198_18053_5,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_18372_20670_4,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_18501_14066_4,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_18691_11069_5,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_22014_20732_8,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_22093_4324_3,9
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_22333_17438_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_22641_19086_3,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_23665_15514_4,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_23700_3772_5,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_24916_4197_3,1
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_2587_15435_6,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_26011_13998_4,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_27540_6479_5,8
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_27884_10065_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_3906_20686_4,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_5486_8293_6,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_5608_6066_2,1
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_6369_13211_4,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_6769_13018_7,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_7787_10249_5,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1104_9436_11075_5,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_10113_5104_2,1
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_10191_1525_8,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_11346_13500_11,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_11585_8922_4,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_12112_15921_6,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_13349_21030_4,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_13378_12845_3,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_13518_3694_7,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_14504_14491_6,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_15976_12466_5,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_16199_14538_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_16758_22265_3,10
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_17925_2184_3,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_18252_10671_2,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_19323_6706_7,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_20148_20596_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_21871_14488_12,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_22329_10967_7,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_22349_3419_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_22926_20306_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_23031_13588_4,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_23195_24975_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_23872_11699_4,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_25451_11734_3,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_25845_16950_4,6
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_25973_16950_4,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_28839_17413_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_28977_10416_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_29546_12587_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_4611_11959_3,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_6102_4139_4,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_6741_20612_3,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_7263_13534_5,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1105_9945_12500_8,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_10546_21693_3,9
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_10585_3056_2,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_12084_16960_5,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_12874_13381_6,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_13580_21954_2,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_14760_8702_6,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_14844_3400_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_16620_15521_6,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_16771_4351_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_16851_7340_4,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_17098_11291_5,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_18087_19685_2,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_18371_14093_3,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_18390_18847_7,7
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_18446_9728_5,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_18536_13625_4,5
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_18542_5753_2,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_18682_11052_4,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_18757_14166_2,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_19390_10336_3,4
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_20453_6826_9,2
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_21033_11866_6,3
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_21079_19324_2,1
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_21360_11644_2,1
M3Dl33_bc1_M04670_41_000000000-JNYHM_1_1106_21639_13799_3,7
