Name of tips,Number of mutations
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_16781_16936_4,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_16863_14029_3,2
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_17219_13742_8,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_17447_14248_4,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_17492_15585_5,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_17820_12285_4,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_18052_17474_3,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_18109_3915_6,1
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_18131_9428_4,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_18430_16218_3,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_18431_5593_5,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_18823_10705_5,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_18932_2692_3,14
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_19619_21855_3,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_19623_19064_5,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_19762_11006_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_19892_11355_5,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_20134_5174_8,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_20212_22093_9,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_20468_3634_3,14
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_20555_7895_6,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_21037_12663_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_21147_17829_5,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_21375_9190_3,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_22006_12472_7,3
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_22483_18455_7,24
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_22542_4127_3,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_22771_5359_3,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_24330_7128_8,5
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_26060_18063_4,13
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_27199_17943_3,12
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_2985_12978_3,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_3966_11798_3,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_5609_11789_3,7
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_5979_12556_5,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_5990_14045_5,16
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_6215_11353_7,12
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_6230_13553_8,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_6537_15988_4,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_7171_12931_4,9
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_7529_9357_6,8
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_9211_18153_6,4
M3D3_bc1_M03320_18_000000000-JJCML_1_1103_9364_16573_5,11
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_10391_7362_3,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_11016_4159_8,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_11017_4594_3,6
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_11041_11076_5,10
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_11090_3994_4,12
M3D3_bc1_M03320_18_000000000-JJCML_1_1104_11098_21229_12,6
